k,MD,LM,model,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
1024,360136,104722.5524,logistic,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
1,0,0.0,tree,0.7822265625,0.8412434741338396,0.6533678756476684,0.7473056748907541,0.7353360445253652,0.7962484170087627,0.9294703723125328,0.5412017167381974,0.7683138274815778,0.8241830065359477,0.7944580467764434,0.8327823770279082,0.7822265625
2,106093,31662.8056,tree,0.8020833333333334,0.8669293061939155,0.6139682539682539,0.7404487800810847,0.7362330942790714,0.7452501763600976,0.875552608311229,0.5969135802469135,0.8584742089293455,0.6320261437908496,0.8039360754150642,0.8061649597209942,0.8020833333333334
4,148709,34504.5889,tree,0.7970377604166666,0.8599977545750533,0.6311742088139604,0.7455859816945068,0.734297588211332,0.7637339894778892,0.892150011646867,0.5764451647757969,0.8300823580407456,0.6973856209150326,0.8030153286286875,0.8135321054436221,0.7970377604166666
8,171976,40786.9258,tree,0.76904296875,0.8351341930986407,0.6145069274653626,0.7248205602820017,0.7129385420301426,0.7590746831892705,0.9000751314800901,0.5258019525801952,0.7789336801040312,0.7392156862745098,0.7801928330044161,0.8068723379063858,0.76904296875
16,205556,47661.1028,tree,0.7679036458333334,0.83590333716916,0.60366870483602,0.7197860210025899,0.7081073719256752,0.7484867028736072,0.8910696761530913,0.5251450676982592,0.7871694841785869,0.7098039215686275,0.7780714707190128,0.7999458722898275,0.7679036458333334
32,228506,52677.2274,tree,0.7576497395833334,0.8240992321323095,0.6105153021187549,0.7173072671255323,0.7073395110473059,0.7593526097044799,0.9057387691508699,0.5089402529437418,0.7559601213697442,0.7627450980392156,0.7709118276855748,0.8069266386500714,0.7576497395833334
64,254101,63777.3726,tree,0.6897786458333334,0.7540645161290322,0.5799911855442926,0.6670278508366625,0.6846301020408163,0.7467103529751736,0.9317602040816326,0.4375,0.6332899869960988,0.8601307189542484,0.7107161769697465,0.8086778290417729,0.6897786458333334
128,293020,74993.6829,tree,0.6749674479166666,0.7376855378957047,0.5728342245989305,0.6552598812473176,0.6810336354831579,0.741872986732621,0.9363121040346782,0.4257551669316375,0.6085825747724317,0.8751633986928105,0.6966336971821526,0.8091714605178076,0.6749674479166666
256,317096,78544.4274,tree,0.6609700520833334,0.7235567352355674,0.5617504733852304,0.642653604310399,0.673726201706474,0.7316797980570642,0.9332420403971242,0.41421036301582376,0.5908105765062852,0.8725490196078431,0.6832631837005714,0.8039909879242417,0.6609700520833334
512,340180,88759.1683,tree,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
1024,360136,104722.5524,tree,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
1,0,0.0,forest,0.8009440104166666,0.8646075500940994,0.6242703533026114,0.7444389516983554,0.7363347993348879,0.7551947610426919,0.883684091423399,0.5889855072463768,0.8463372345036845,0.6640522875816993,0.804757955189969,0.8102972369652538,0.8009440104166666
2,106093,31662.8056,forest,0.8024088541666666,0.8655890168290522,0.6271498771498771,0.7463694469894646,0.7381653165418831,0.7572622113431415,0.8847894975101857,0.5915411355735806,0.8472041612483745,0.6673202614379085,0.8062120826316014,0.8117637823794882,0.8024088541666666
4,148709,34504.5889,forest,0.7960611979166666,0.8587213891081295,0.6335185726820708,0.7461199808951001,0.7341331687753765,0.7665786990999262,0.8949471210340776,0.5733192165166755,0.8253142609449502,0.707843137254902,0.8026406096270309,0.8148542346552324,0.7960611979166666
8,171976,40786.9258,forest,0.7682291666666666,0.8344186046511628,0.613882863340564,0.7241507339958634,0.7123551522078898,0.7587512855163738,0.9001505268439538,0.5245597775718258,0.7776332899869961,0.7398692810457517,0.7795000362583867,0.806619627367008,0.7682291666666666
16,205556,47661.1028,forest,0.7679036458333334,0.8358277688233939,0.6041088284286508,0.7199682986260223,0.7082751780688912,0.7489235659586765,0.8914538310412574,0.525096525096525,0.7867360208062418,0.7111111111111111,0.7781243217524373,0.8002222753616609,0.7679036458333334
32,228506,52677.2274,forest,0.7576497395833334,0.8240992321323095,0.6105153021187549,0.7173072671255323,0.7073395110473059,0.7593526097044799,0.9057387691508699,0.5089402529437418,0.7559601213697442,0.7627450980392156,0.7709118276855748,0.8069266386500714,0.7576497395833334
64,254101,63777.3726,forest,0.6897786458333334,0.7540645161290322,0.5799911855442926,0.6670278508366625,0.6846301020408163,0.7467103529751736,0.9317602040816326,0.4375,0.6332899869960988,0.8601307189542484,0.7107161769697465,0.8086778290417729,0.6897786458333334
128,293020,74993.6829,forest,0.6749674479166666,0.7376855378957047,0.5728342245989305,0.6552598812473176,0.6810336354831579,0.741872986732621,0.9363121040346782,0.4257551669316375,0.6085825747724317,0.8751633986928105,0.6966336971821526,0.8091714605178076,0.6749674479166666
256,317096,78544.4274,forest,0.6609700520833334,0.7235567352355674,0.5617504733852304,0.642653604310399,0.673726201706474,0.7316797980570642,0.9332420403971242,0.41421036301582376,0.5908105765062852,0.8725490196078431,0.6832631837005714,0.8039909879242417,0.6609700520833334
512,340180,88759.1683,forest,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
1024,360136,104722.5524,forest,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
1,0,0.0,mlp,0.7942708333333334,0.8521291530182499,0.6620320855614973,0.7570806192898736,0.742978143899224,0.7992435639188489,0.925775292323335,0.5601809954751131,0.7893368010403121,0.8091503267973856,0.8047905278215,0.8347337437917953,0.7942708333333334
2,106093,31662.8056,mlp,0.7752278645833334,0.839287792389154,0.6262516914749662,0.73276974193206,0.7203344695912199,0.7688718053324495,0.9062578537320934,0.5344110854503464,0.7815344603381015,0.7562091503267974,0.7862368102279061,0.8136592932713068,0.7752278645833334
4,148709,34504.5889,mlp,0.7845052083333334,0.8472542685740655,0.6342541436464089,0.7407542061102372,0.7275271868058719,0.7730827745055543,0.9057720769610261,0.5492822966507177,0.7958387516254877,0.7503267973856209,0.794212245276651,0.8169977664345334,0.7845052083333334
8,171976,40786.9258,mlp,0.7682291666666666,0.8337613822087322,0.6174099946265449,0.7255856884176386,0.7138859747628477,0.762464621739463,0.9035931174089069,0.5241788321167883,0.7739488513220633,0.7509803921568627,0.7798848159651212,0.8091100678488578,0.7682291666666666
16,205556,47661.1028,mlp,0.76806640625,0.835696990660671,0.6058091286307054,0.7207530596456881,0.7090053013021955,0.7505609525995054,0.8928307464892831,0.5251798561151079,0.7854356306892067,0.7156862745098039,0.7784495250184432,0.8012770579683702,0.76806640625
32,228506,52677.2274,mlp,0.7667643229166666,0.8330420598858208,0.613225371120108,0.7231337155029645,0.7115147566050686,0.7586497190987362,0.9007306626354246,0.5222988505747126,0.7748157780667534,0.742483660130719,0.7783025524295154,0.8064922719367121,0.7667643229166666
